sentence,category,Business ID,User ID,Review stars,Review ID,Date
THE best breakfast place BY FAR. ,food,b9WZJp5L1RZr4F1nxclOoQ,BhSCNNQ1qtrzEIV4gZD8Vw,,p8nZa635EpZU1SXEgLg8kw,
I never even liked breakfast food until trying their eggs and French toast.,food,b9WZJp5L1RZr4F1nxclOoQ,BhSCNNQ1qtrzEIV4gZD8Vw,,p8nZa635EpZU1SXEgLg8kw,
Great greasy spoon!,food,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Arrived early, around 7:15 am on a weekday.",other,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
Had no trouble finding a seat.,wait,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Just as we were sitting down, a waitress asked if we wanted coffee.",service,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Of course, and how lovely!",service,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"We had a couple of questions about the mixed grill sizes because we didn't want too much, as the reviews here stated that the portions were huge.",value,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
The waitress was super nice and answered all of our questions.,service,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"We ended up splitting the half-sized mixed grill, and it was PLENTY!",value,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Great diner quality, but I think I'll try the same dish without the cheese next time-it was an American cheese, and I don't think the grill needed it. ",food,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Coffee was always hot, and service was so quick! This place is a hot spot!",service,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
Cash only - be prepared.,service,b9WZJp5L1RZr4F1nxclOoQ,GYNfjDbSlpdRK2qC8RqatA,,7sBsE7N4ci5J_VEAYqJq1w,
"Wonderful omelets, coffee, and staff!",service,b9WZJp5L1RZr4F1nxclOoQ,mufnID67U_yWzgCshRzr1g,,6z3sYLoB_Qyigp6cAVxnYg,
The prices are great and the food is prepared quickly!,service,b9WZJp5L1RZr4F1nxclOoQ,mufnID67U_yWzgCshRzr1g,,6z3sYLoB_Qyigp6cAVxnYg,
Veggie omelet with cheese is my favorite!,food,b9WZJp5L1RZr4F1nxclOoQ,mufnID67U_yWzgCshRzr1g,,6z3sYLoB_Qyigp6cAVxnYg,
My friend and i stopped in yesterday for breakfast. ,other,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
"We originally came to Carnegie to eat at another new breakfast spot, but they had an hour wait and we had some retail therapy to handle stat.",other,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
Gab & Eat crossed my mind since i had bookmarked it on yelp.. over 2 years ago.,other,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
There was a tiny wait here.. about 2 couples in front of us.,wait,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
Finally 2 seats at the bar opened up and we decided to eat there.,wait,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
Surprisingly we both ordered the same thing.. mixed grill. Mine had sausage links and she decided on bacon.,food,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
"It was a blast watching all the food being made right before our eyes. Giant club sandwiches, super thick pancakes, eggs eggs and more eggs.. it was a fun time. ",food,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
The restaurant is literally a hole in the wall but had good customer service and delicious food.,service,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
"My only complaint is that i ordered my mixed grill with cheese. I thought it was going to be shredded cheddar, but they put 3 slices of american on it. Eh i'll know better next time.",service,b9WZJp5L1RZr4F1nxclOoQ,WzaaorVCmUTQvu4mScunNg,,P120Ggfd56fMHc_hxJFLYQ,
They have done it again!,value,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
Excellent little establishment with their home town feeling.,ambiance,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"Mix match coffee mugs, smiling waitresses, open front diner kitchen feel.",ambiance,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
Went in there In the mood for lunch while my date was craving breakfast.,other,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"It's a seat your own kinda establishment, so we found a table at the very far back, sat down and were greater right away and asked if we wanted coffee to start out mornings.",other,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
Agreed and both cups were promptly filled and re filled as the meal went along without hesitation. ,service,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"I ordered the hot Italian, had fried salami and Bologna on it with cheese, dressing, and lettuce.... Bun was a smidge small for all the goodies in it but what's to complain about there?",food,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"My Date got the bagel sandwich and ""Hey Rayed"" it (adding breakfast potatoes and cole slaw) it was amazing and large enough that she now has lunch as well. ",value,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"I also got a cup the chicken poblano soup, pretty fantastic!",food,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
"Always a great place to travel to, always a good story to listen to when ya strike up a convo with the locals, always great and friendly.",ambiance,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
Highly recommend!,value,b9WZJp5L1RZr4F1nxclOoQ,iW3KcKqzsU5DLaOPEqiuIA,,LOhWSMoDNZsbPRWFBGzPQA,
This place is great. Best ham and cheese inlet I've ever had!,food,b9WZJp5L1RZr4F1nxclOoQ,fb_I24J7hvBPvdM3ENQx5A,,RM0YAEJxLXbgJfwXHRmylQ,
Their burgers are also delicious. ,food,b9WZJp5L1RZr4F1nxclOoQ,fb_I24J7hvBPvdM3ENQx5A,,RM0YAEJxLXbgJfwXHRmylQ,
Nice flat-top crust on the burger. ,food,b9WZJp5L1RZr4F1nxclOoQ,fb_I24J7hvBPvdM3ENQx5A,,RM0YAEJxLXbgJfwXHRmylQ,
I only wish they were open for dinner too!,service,b9WZJp5L1RZr4F1nxclOoQ,fb_I24J7hvBPvdM3ENQx5A,,RM0YAEJxLXbgJfwXHRmylQ,
This place is by far the best place for breakfast....but today...I decided to get lunch. ,food,b9WZJp5L1RZr4F1nxclOoQ,aOHQ9MlorpvL71Y6qC9v2A,,VmJrVDBqHuV-O7BdmOKc8A,
"{Only because it was lunch time...but they do serve breakfast at this time, too.}.",other,b9WZJp5L1RZr4F1nxclOoQ,aOHQ9MlorpvL71Y6qC9v2A,,VmJrVDBqHuV-O7BdmOKc8A,
I got the turkey club on wholewheat...OMG...it was delish.,food,b9WZJp5L1RZr4F1nxclOoQ,aOHQ9MlorpvL71Y6qC9v2A,,VmJrVDBqHuV-O7BdmOKc8A,
Too much for me to eat because it came with a large plate of home made French Fries.,value,b9WZJp5L1RZr4F1nxclOoQ,aOHQ9MlorpvL71Y6qC9v2A,,VmJrVDBqHuV-O7BdmOKc8A,
If you are really hungry and don't count calories...make a stop here.,value,b9WZJp5L1RZr4F1nxclOoQ,aOHQ9MlorpvL71Y6qC9v2A,,VmJrVDBqHuV-O7BdmOKc8A,
Barb's Country Junction gets a 5 star rating for me because it is truly everything that a Pittsburgh restaurant should be. ,value,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
"In addition to being the apple of my nostalgia's eye, it is also the constant thought of my tummy when I'm hungry on the weekends.  ",value,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
"Barb's breakfasts cannot be beat, but truly any meal you get there you won't regret.",food,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
"Everything is made to order, with fair portions, and great prices.",value,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
My recommendation is a breakfast sandwich on a bagel and a coffee.,food,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
There's nothing better than drinking from a cup that could have come from your grandma's kitchen.,ambiance,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
"I know that Gab N Eat is nearby, and Barb's can be a little weird get to with the strange traffic pattern but this really is a gem of Carnegie that you've gotta try!",wait,zaXDakTd3RXyOa7sMrUE1g,E8K5lVfbsg-x9KX9gOIfzA,,ceqgl_4w27yRGv9yijLj9g,
Great little place.,value,zaXDakTd3RXyOa7sMrUE1g,FyQ9wsYI-17OTSZTnXmNbg,,4kAOfPDybemCHIcaWpKqKA,
Treats you like a local.,service,zaXDakTd3RXyOa7sMrUE1g,FyQ9wsYI-17OTSZTnXmNbg,,4kAOfPDybemCHIcaWpKqKA,
Eaten here 3 times a week for a month.,value,zaXDakTd3RXyOa7sMrUE1g,FyQ9wsYI-17OTSZTnXmNbg,,4kAOfPDybemCHIcaWpKqKA,
Same overtime. Barb is always here.,service,zaXDakTd3RXyOa7sMrUE1g,FyQ9wsYI-17OTSZTnXmNbg,,4kAOfPDybemCHIcaWpKqKA,
This is a great place to eat and everyone is so friendly.,ambiance,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
"I live right down the street from here but unfortunately, I have only gone a once.",other,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
"Trust me, I will go here more often.",value,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
"The food is great, prices are low, and the staff are friendly.",value,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
My cousin and I wanted a place to eat and catch up and this was perfect place. ,ambiance,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
I will go here more often.,value,zaXDakTd3RXyOa7sMrUE1g,QM5uJW2Pop9SjgO0P3z33w,,uq6axABEEEHVnemO1G3VTw,
I have said it on other sites and will repeat here. ,other,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
You MUST try their burgers.,food,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
They are juicy and delicious with a bun that is perfect.,food,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
"Another must are the fries with Guinness gravy and if you haven't had enough go for the ultimate sleeper, Leek and potato soup.",food,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
Authentic black & tans.,food,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
Harp and Murphys on tap.,food,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
It don't get no better.,other,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
This is a true gem my friends.,value,WETE_LykpcnrC1sFcQ5EGg,80YoAmJsI_3FesVaPSZjpA,,B4iyVn2q8ze2thdCaDGS2g,
Best Irish food in the Burgh. ,food,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
Great bar food too.,food,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
"The service is maybe a bit surly and it's not the cleanest, nor the best decor. ",service,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
"But, that's not what this place is about.",other,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
It's a town Irish bar and it serves great solid Irish fare and suds to the locals. ,food,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
And it does it better than anyone.,value,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
I go back again and again.,value,WETE_LykpcnrC1sFcQ5EGg,heoc96QXrTbecWVw933qhQ,,H6sZ-kD7ungCECsGpORobw,
